Unnamed: 0,game_id,season,home_team,away_team,week,season_type,team.x,team.y,url
899,2012_07_JAX_OAK,2012,LV,JAX,7,REG,raiders,jaguars,https://www.nfl.com/plus/games/jaguars-at-raiders-2012-reg-7/
712,2011_13_BAL_CLE,2011,CLE,BAL,13,REG,browns,ravens,https://www.nfl.com/plus/games/ravens-at-browns-2011-reg-13/
2101,2016_16_MIA_BUF,2016,BUF,MIA,16,REG,bills,dolphins,https://www.nfl.com/plus/games/dolphins-at-bills-2016-reg-16/
2966,2020_02_NO_LV,2020,LV,NO,2,REG,raiders,saints,https://www.nfl.com/plus/games/saints-at-raiders-2020-reg-2/
1932,2016_04_TEN_HOU,2016,HOU,TEN,4,REG,texans,titans,https://www.nfl.com/plus/games/titans-at-texans-2016-reg-4/
3746,2022_19_BAL_CIN,2022,CIN,BAL,1,POST,bengals,ravens,https://www.nfl.com/plus/games/ravens-at-bengals-2022-post-1/
2699,2019_02_PHI_ATL,2019,ATL,PHI,2,REG,falcons,eagles,https://www.nfl.com/plus/games/eagles-at-falcons-2019-reg-2/
995,2012_14_ATL_CAR,2012,CAR,ATL,14,REG,panthers,falcons,https://www.nfl.com/plus/games/falcons-at-panthers-2012-reg-14/
2576,2018_12_SEA_CAR,2018,CAR,SEA,12,REG,panthers,seahawks,https://www.nfl.com/plus/games/seahawks-at-panthers-2018-reg-12/
1625,2015_02_HOU_CAR,2015,CAR,HOU,2,REG,panthers,texans,https://www.nfl.com/plus/games/texans-at-panthers-2015-reg-2/
2552,2018_11_CAR_DET,2018,DET,CAR,11,REG,lions,panthers,https://www.nfl.com/plus/games/panthers-at-lions-2018-reg-11/
1749,2015_11_BUF_NE,2015,NE,BUF,11,REG,patriots,bills,https://www.nfl.com/plus/games/bills-at-patriots-2015-reg-11/
484,2010_15_HOU_TEN,2010,TEN,HOU,15,REG,titans,texans,https://www.nfl.com/plus/games/texans-at-titans-2010-reg-15/
3895,2023_10_ATL_ARI,2023,ARI,ATL,10,REG,cardinals,falcons,https://www.nfl.com/plus/games/falcons-at-cardinals-2023-reg-10/
3589,2022_08_GB_BUF,2022,BUF,GB,8,REG,bills,packers,https://www.nfl.com/plus/games/packers-at-bills-2022-reg-8/
1884,2016_01_SD_KC,2016,KC,LAC,1,REG,chiefs,chargers,https://www.nfl.com/plus/games/chargers-at-chiefs-2016-reg-1/
1326,2013_18_NO_PHI,2013,PHI,NO,1,POST,eagles,saints,https://www.nfl.com/plus/games/saints-at-eagles-2013-post-1/
1156,2013_06_PHI_TB,2013,TB,PHI,6,REG,buccaneers,eagles,https://www.nfl.com/plus/games/eagles-at-buccaneers-2013-reg-6/
